abandon -> abandons,abandoning,abandoned
commentate -> commentates,commentating,commentated
commiserate -> commiserates,commiserating,commiserated
commission -> commissions,commissioning,commissioned
commit -> commits,committing,committed
common -> commoner,commonest,commons
commune -> communes,communing,communed
communicate -> communicates,communicating,communicated
commute -> commutes,commuting,commuted
compact -> compacts,compacting,compacted
compare -> compares,comparing,compared
compartmentalize -> compartmentalizes,compartmentalizing,compartmentalized
compel -> compels,compelling,compelled
compensate -> compensates,compensating,compensated
compere -> comperes,compering,compered
compete -> competes,competing,competed
compile -> compiles,compiling,compiled
complain -> complains,complaining,complained
complement -> complements,complementing,complemented
complete -> completes,completing,completed
complicate -> complicates,complicating,complicated
compliment -> compliments,complimenting,complimented
comply -> complies,complying,complied
comport -> comports,comporting,comported
compose -> composes,composing,composed
compost -> composts,composting,composted
compound -> compounds,compounding,compounded
comprehend -> comprehends,comprehending,comprehended
compress -> compresses,compressing,compressed
comprise -> comprises,comprising,comprised
compromise -> compromises,compromising,compromised
compute -> computes,computing,computed
computerize -> computerizes,computerizing,computerized
con -> cons,conning,conned
conceal -> conceals,concealing,concealed
concede -> concedes,conceding,conceded
conceive -> conceives,conceiving,conceived
concentrate -> concentrates,concentrating,concentrated
conceptualize -> conceptualizes,conceptualizing,conceptualized
concern -> concerns,concerning,concerned
concertina -> concertinas,concertinaing,concertinaed
conciliate -> conciliates,conciliating,conciliated
conclude -> concludes,concluding,concluded
concoct -> concocts,concocting,concocted
concrete -> concretes,concreting,concreted
concur -> concurs,concurring,concurred
concuss -> concusses,concussing,concussed
condemn -> condemns,condemning,condemned
condense -> condenses,condensing,condensed
condescend -> condescends,condescending,condescended
condition -> conditions,conditioning,conditioned
condole -> condoles,condoling,condoled
condone -> condones,condoning,condoned
conduct -> conducts,conducting,conducted
cone -> cones,coning,coned
confer -> confers,conferring,conferred
confess -> confesses,confessing,confessed
confide -> confides,confiding,confided
confine -> confines,confining,confined
confirm -> confirms,confirming,confirmed
confiscate -> confiscates,confiscating,confiscated
conflate -> conflates,conflating,conflated
conflict -> conflicts,conflicting,conflicted
conform -> conforms,conforming,conformed
confound -> confounds,confounding,confounded
confront -> confronts,confronting,confronted
confuse -> confuses,confusing,confused
congeal -> congeals,congealing,congealed
congratulate -> congratulates,congratulating,congratulated
congregate -> congregates,congregating,congregated
conjecture -> conjectures,conjecturing,conjectured
conjure -> conjures,conjuring,conjured
conk -> conks,conking,conked
connect -> connects,connecting,connected
connive -> connives,conniving,connived
connote -> connotes,connoting,connoted
conquer -> conquers,conquering,conquered
conscript -> conscripts,conscripting,conscripted
consecrate -> consecrates,consecrating,consecrated
consent -> consents,consenting,consented
conserve -> conserves,conserving,conserved
consider -> considers,considering,considered
consign -> consigns,consigning,consigned
consist -> consists,consisting,consisted
console -> consoles,consoling,consoled
consolidate -> consolidates,consolidating,consolidated
consort -> consorts,consorting,consorted
conspire -> conspires,conspiring,conspired
constitute -> constitutes,constituting,constituted
constrain -> constrains,constraining,constrained
constrict -> constricts,constricting,constricted
construct -> constructs,constructing,constructed
construe -> construes,construing,construed
consult -> consults,consulting,consulted
consume -> consumes,consuming,consumed
consummate -> consummates,consummating,consummated
contact -> contacts,contacting,contacted
contain -> contains,containing,contained
contaminate -> contaminates,contaminating,contaminated
contemplate -> contemplates,contemplating,contemplated
contend -> contends,contending,contended
content -> contents,contenting,contented
contest -> contests,contesting,contested
continue -> continues,continuing,continued
contort -> contorts,contorting,contorted
contract -> contracts,contracting,contracted
contradict -> contradicts,contradicting,contradicted
contrast -> contrasts,contrasting,contrasted
contravene -> contravenes,contravening,contravened
contribute -> contributes,contributing,contributed
contrive -> contrives,contriving,contrived
control -> controls,controlling,controlled
convalesce -> convalesces,convalescing,convalesced
convene -> convenes,convening,convened
convenience -> conveniences,convenienced,conveniencing
converge -> converges,converging,converged
converse -> converses,conversing,conversed
convert -> converts,converting,converted
convey -> conveys,conveying,conveyed
convict -> convicts,convicting,convicted
convince -> convinces,convincing,convinced
convulse -> convulses,convulsing,convulsed
coo -> coos,cooing,cooed
cook -> cooks,cooking,cooked
cool -> cooler,coolest,cools,cooling,cooled
coop -> coops,cooping,cooped
cop -> cops,copping,copped
cope -> copes,coping,coped
copulate -> copulates,copulating,copulated
copy -> copies,copying,copied
cordon -> cordons,cordoning,cordoned
core -> cores,coring,cored
cork -> corks,corking,corked
corner -> corners,cornering,cornered
corral -> corrals,corralling,corralled
correct -> corrects,correcting,corrected
correlate -> correlates,correlating,correlated
correspond -> corresponds,corresponding,corresponded
corroborate -> corroborates,corroborating,corroborated
corrode -> corrodes,corroding,corroded
corrupt -> corrupts,corrupting,corrupted
cosh -> coshes,coshing,coshed
cosset -> cossets,cosseting,cosseted
cost -> costs,costing,costed
cosy -> cosier,cosiest,cosies
cotton -> cottons,cottoning,cottoned
couch -> couches,couching,couched
cough -> coughs,coughing,coughed
counsel -> counsels,counselling,counselled
count -> counts,counting,counted
countenance -> countenances,countenancing,countenanced
counter -> counters,countering,countered
counter-attack -> counter-attacks,counter-attacking,counter-attacked
counteract -> counteracts,counteracting,counteracted
counterbalance -> counterbalances,counterbalancing,counterbalanced
counterfeit -> counterfeits,counterfeiting,counterfeited
countermand -> countermands,countermanding,countermanded
countersign -> countersigns,countersigning,countersigned
countersink -> countersinks,countersank,countersunk,countersinking
couple -> couples,coupling,coupled
course -> courses,coursing,coursed
court -> courts,courting,courted
court-martial -> court-martials,court-martialling,court-martialled
cover -> covers,covering,covered
covet -> covets,coveting,coveted
cow -> cows,cowing,cowed
cower -> cowers,cowering,cowered
crack -> cracks,cracking,cracked
crackle -> crackles,crackling,crackled
cradle -> cradles,cradling,cradled
craft -> crafts,crafting,crafted
cram -> crams,cramming,crammed
cramp -> cramps,cramping,cramped
crane -> cranes,craning,craned
crank -> cranks,cranking,cranked
crap -> craps,crapping,crapped
crash -> crashes,crashing,crashed
crate -> crates,crating,crated
crave -> craves,craving,craved
crawl -> crawls,crawling,crawled
crayon -> crayons,crayoning,crayoned
crazy -> crazier,craziest,crazies
creak -> creaks,creaking,creaked
cream -> creams,creaming,creamed
crease -> creases,creasing,creased
create -> creates,creating,created
credit -> credits,crediting,credited
creep -> creeps,creeping,crept
cremate -> cremates,cremating,cremated
creosote -> creosotes,creosoting,creosoted
crib -> cribs,cribbing,cribbed
crick -> cricks,cricking,cricked
crimp -> crimps,crimping,crimped
cringe -> cringes,cringing,cringed
crinkle -> crinkles,crinkling,crinkled
cripple -> cripples,crippling,crippled
crisp -> crisper,crispest,crisps
criss-cross -> criss-crosses,criss-crossing,criss-crossed
criticize -> criticizes,criticizing,criticized
croak -> croaks,croaking,croaked
crochet -> crochets,crocheting,crocheted
crook -> crooks,crooking,crooked
croon -> croons,crooning,crooned
crop -> crops,cropping,cropped
cross -> crosses,crossing,crossed,crosser,crossest
cross-check -> cross-checks,cross-checking,cross-checked
cross-examine -> cross-examines,cross-examining,cross-examined
cross-question -> cross-questions,cross-questioning,cross-questioned
cross-reference -> cross-references,cross-referencing,cross-referenced
crossbreed -> crossbreeds,crossbred,crossbreeding
crouch -> crouches,crouching,crouched
crow -> crows,crew,crowed,crowing
crowd -> crowds,crowding,crowded
crown -> crowns,crowning,crowned
crucify -> crucifies,crucifying,crucified
cruise -> cruises,cruising,cruised
crumble -> crumbles,crumbling,crumbled
crumple -> crumples,crumpling,crumpled
crunch -> crunches,crunching,crunched
crusade -> crusades,crusading,crusaded
crush -> crushes,crushing,crushed
cry -> cries,crying,cried
crystallize -> crystallizes,crystallizing,crystallized
cube -> cubes,cubing,cubed
cuckold -> cuckolds,cuckolding,cuckolded
cuddle -> cuddles,cuddling,cuddled
cudgel -> cudgels,cudgelling,cudgelled
cue -> cues,cueing,cued
cuff -> cuffs,cuffing,cuffed
cull -> culls,culling,culled
culminate -> culminates,culminating,culminated
cultivate -> cultivates,cultivating,cultivated
culture -> cultures,culturing,cultured
cup -> cups,cupping,cupped
curb -> curbs,curbing,curbed
curdle -> curdles,curdling,curdled
cure -> cures,curing,cured
curl -> curls,curling,curled
curry -> curries,currying,curried
curse -> curses,curst,cursed,cursing
curtail -> curtails,curtailing,curtailed
curtain -> curtains,curtaining,curtained
curtsy -> curtsies,curtsying,curtsied
curve -> curves,curving,curved
cushion -> cushions,cushioning,cushioned
cuss -> cusses,cussing,cussed
customize -> customizes,customizing,customized
cycle -> cycles,cycling,cycled
dab -> dabs,dabbing,dabbed
dabble -> dabbles,dabbling,dabbled
dally -> dallies,dallying,dallied
dam -> dams,damming,dammed
damage -> damages,damaging,damaged
damp -> damper,dampest,damps,damping,damped
dampen -> dampens,dampening,dampened
dance -> dances,dancing,danced
dandy -> dandies,dandier,dandiest
dangle -> dangles,dangling,dangled
dare -> dares,daring,dared
darken -> darkens,darkening,darkened
darn -> darns,darning,darned
dart -> darts,darting,darted
dash -> dashes,dashing,dashed
date -> dates,dating,dated
daub -> daubs,daubing,daubed
daunt -> daunts,daunting,daunted
dawdle -> dawdles,dawdling,dawdled
dawn -> dawns,dawning,dawned
daydream -> daydreams,daydreaming,daydreamed
dazzle -> dazzles,dazzling,dazzled
de-escalate -> de-escalates,de-escalating,de-escalated
deactivate -> deactivates,deactivating,deactivated
deaden -> deadens,deadening,deadened
deafen -> deafens,deafening,deafened
deal -> deals,dealing,dealt
dear -> dearer,dearest,dears
debar -> debars,debarring,debarred
debase -> debases,debasing,debased
debate -> debates,debating,debated
debauch -> debauches,debauching,debauched
debilitate -> debilitates,debilitating,debilitated
debit -> debits,debiting,debited
debrief -> debriefs,debriefing,debriefed
debug -> debugs,debugging,debugged
debunk -> debunks,debunking,debunked
decamp -> decamps,decamping,decamped
decant -> decants,decanting,decanted
decapitate -> decapitates,decapitating,decapitated
decay -> decays,decaying,decayed
deceive -> deceives,deceiving,deceived
decelerate -> decelerates,decelerating,decelerated
decentralize -> decentralizes,decentralizing,decentralized
decide -> decides,deciding,decided
decimalize -> decimalizes,decimalizing,decimalized
decimate -> decimates,decimating,decimated
decipher -> deciphers,deciphering,deciphered
deck -> decks,decking,decked
declaim -> declaims,declaiming,declaimed
declare -> declares,declaring,declared
declassify -> declassifies,declassifying,declassified
decline -> declines,declining,declined
decode -> decodes,decoding,decoded
decolonize -> decolonizes,decolonizing,decolonized
decompose -> decomposes,decomposing,decomposed
decontaminate -> decontaminates,decontaminating,decontaminated
decorate -> decorates,decorating,decorated
decoy -> decoys,decoying,decoyed
decrease -> decreases,decreasing,decreased
decree -> decrees,decreeing,decreed
decry -> decries,decrying,decried
dedicate -> dedicates,dedicating,dedicated
deduce -> deduces,deducing,deduced
deduct -> deducts,deducting,deducted
deem -> deems,deeming,deemed
deep -> deeper,deepest,deeps
deep-freeze -> deep-freezes,deep-freezed,deep-froze,deep-frozen,deep-freezing
deep-fry -> deep-fries,deep-frying,deep-fried
deepen -> deepens,deepening,deepened
deface -> defaces,defacing,defaced
defame -> defames,defaming,defamed
default -> defaults,defaulting,defaulted
defeat -> defeats,defeating,defeated
defecate -> defecates,defecating,defecated
defect -> defects,defecting,defected
defend -> defends,defending,defended
defer -> defers,deferring,deferred
defile -> defiles,defiling,defiled
define -> defines,defining,defined
deflate -> deflates,deflating,deflated
deflect -> deflects,deflecting,deflected
deflower -> deflowers,deflowering,deflowered
defoliate -> defoliates,defoliating,defoliated
deforest -> deforests,deforesting,deforested
deform -> deforms,deforming,deformed
defraud -> defrauds,defrauding,defrauded
defray -> defrays,defraying,defrayed
defrost -> defrosts,defrosting,defrosted
defuse -> defuses,defusing,defused
defy -> defies,defying,defied
degenerate -> degenerates,degenerating,degenerated
degrade -> degrades,degrading,degraded
dehumanize -> dehumanizes,dehumanizing,dehumanized
dehydrate -> dehydrates,dehydrating,dehydrated
deify -> deifies,deifying,deified
deign -> deigns,deigning,deigned
delay -> delays,delaying,delayed
delegate -> delegates,delegating,delegated
delete -> deletes,deleting,deleted
deliberate -> deliberates,deliberating,deliberated
delight -> delights,delighting,delighted
delimit -> delimits,delimiting,delimited
delineate -> delineates,delineating,delineated
deliver -> delivers,delivering,delivered
delouse -> delouses,delousing,deloused
delude -> deludes,deluding,deluded
deluge -> deluges,deluging,deluged
delve -> delves,delving,delved
demand -> demands,demanding,demanded
